Customer_ID,Income,Children_Per_Household,Teens_Per_Household,Cust_Days,Year_Joined,Children,Family_Size,has_kids,TotalNumPurchases,Total_Spent,Recency,Partner,Single,Adult,Senior,Graduate,PostGrad,UnderGrad,class
5524,58138,0,0,663,2012,0,1,0,25,1617,58,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
2174,46344,1,1,113,2014,2,3,1,6,27,38,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
4141,71613,0,0,312,2013,0,2,0,21,776,26,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2
6182,26646,1,0,139,2014,1,3,1,8,53,26,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
5324,58293,1,0,161,2014,1,3,1,19,422,94,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
7446,62513,0,1,293,2013,1,3,1,22,716,16,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
965,55635,0,1,593,2012,1,2,1,21,590,34,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
6177,33454,1,0,417,2013,1,3,1,10,169,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
4855,30351,1,0,388,2013,1,3,1,6,46,19,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
5899,5648,1,1,108,2014,2,4,1,2,49,68,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
387,7500,0,0,593,2012,0,2,0,6,61,59,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2125,63033,0,0,226,2013,0,1,0,16,1102,82,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
8180,59354,1,1,226,2013,2,3,1,15,310,53,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
2569,17323,0,0,627,2012,0,2,0,5,46,38,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2114,82800,0,0,582,2012,0,1,0,26,1315,23,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2
9736,41850,1,1,552,2012,2,4,1,9,96,51,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
4939,37760,0,0,667,2012,0,2,0,13,317,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
6565,76995,0,1,458,2013,1,3,1,26,1782,91,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2
2278,33812,1,0,603,2012,1,2,1,8,133,86,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
9360,37040,0,0,690,2012,0,2,0,12,316,41,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
5376,2447,1,0,539,2013,1,3,1,43,1730,42,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1993,58607,0,1,553,2012,1,3,1,17,972,63,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
4047,65324,0,1,169,2014,1,3,1,20,544,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2
1409,40689,0,1,468,2013,1,3,1,20,444,69,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
7892,18589,0,0,543,2013,0,1,0,8,75,89,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
2404,53359,1,1,398,2013,2,4,1,14,257,4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
9422,38360,1,0,394,2013,1,3,1,9,131,26,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1966,84618,0,0,219,2013,0,2,0,26,1672,96,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2
6864,10979,0,0,38,2014,0,1,0,8,30,34,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
3033,38620,0,0,414,2013,0,2,0,11,318,56,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
5710,40548,0,1,627,2012,1,3,1,9,120,31,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
7373,46610,0,2,608,2012,2,3,1,17,302,8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
8755,68657,0,0,494,2013,0,2,0,18,1196,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2
10738,49389,1,1,304,2013,2,3,1,6,65,55,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
4339,67353,0,1,180,2013,1,3,1,28,913,37,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2
10755,23718,1,0,300,2013,1,3,1,9,81,76,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
8595,42429,0,1,138,2014,1,2,1,7,67,99,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
2968,48948,0,0,513,2013,0,1,0,24,902,53,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
8601,80011,0,1,426,2013,1,3,1,21,1395,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2
503,20559,1,0,474,2013,1,3,1,7,53,88,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
8430,21994,0,1,552,2012,1,3,1,4,22,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
2139,7500,1,0,270,2013,1,3,1,8,31,19,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1371,79941,0,0,1,2014,0,1,0,16,984,72,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2
9909,7500,0,0,597,2012,0,2,0,10,122,24,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
7286,41728,1,0,401,2013,1,3,1,5,55,92,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
6566,72550,1,1,598,2012,2,4,1,28,1319,39,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2
8614,65486,0,1,48,2014,1,2,1,17,507,29,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2
4114,79143,0,0,687,2012,0,2,0,29,1693,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2
1331,35790,1,0,543,2013,1,2,1,7,72,54,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
2225,82582,0,0,22,2014,0,1,0,21,1617,54,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2
9381,66373,1,1,382,2013,2,4,1,23,606,57,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2
6260,82384,0,0,587,2012,0,2,0,27,1957,55,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2
10383,70287,0,0,453,2013,0,1,0,21,1093,30,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2
7437,27938,1,0,62,2014,1,2,1,6,29,31,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
8375,55954,0,1,118,2014,1,3,1,19,518,63,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
6853,75777,0,0,360,2013,0,1,0,21,1438,12,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
3076,66653,1,1,660,2012,2,4,1,22,612,18,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2
1012,61823,0,1,496,2013,1,2,1,24,884,26,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
6518,67680,0,1,383,2013,1,2,1,19,606,8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2
4137,70666,0,0,205,2013,0,2,0,16,1076,29,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2
8082,25721,1,0,404,2013,1,3,1,5,34,75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1386,32474,1,1,49,2014,2,4,1,4,11,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
9369,88194,0,1,102,2014,1,2,1,32,1274,19,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2
4477,69096,0,1,275,2013,1,3,1,18,653,4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2
1357,74854,1,2,447,2013,3,5,1,19,1562,90,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2
1402,66991,0,0,656,2012,0,2,0,21,1253,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2
6312,65031,0,1,469,2013,1,3,1,30,863,29,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2
8132,60631,1,1,450,2013,2,4,1,24,661,88,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1050,28332,0,0,60,2014,0,2,0,8,65,58,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
5846,40246,1,0,557,2012,1,2,1,4,13,68,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
1859,75251,0,0,671,2012,0,2,0,19,1890,34,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2
7503,75825,0,0,625,2012,0,1,0,22,2209,40,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2
10401,26326,0,0,298,2013,0,2,0,4,18,12,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
1618,56046,0,0,543,2013,0,2,0,21,692,9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
3332,29760,1,0,669,2012,1,2,1,12,165,87,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
2261,26304,1,0,371,2013,1,3,1,4,16,5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
5346,23559,1,0,361,2013,1,3,1,9,79,87,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
