Customer_ID,Education,Marital_Status,Income,Children_Per_Household,Teens_Per_Household,Age,Age_Group,Date_Enrolled,Cust_Days,Year_Joined,Month_Joined,Day_Joined,Education_map,Marital_Status_map,Children,Family_Size,has_kids,TotalNumPurchases,Total_Spent,Recency,Class
5524,Graduation,Single,58138,0,0,65,Senior,2012-09-04,663,2012,September,Tuesday,Graduate,Single,0,1,0,25,1617,58,0.0
2174,Graduation,Single,46344,1,1,68,Senior,2014-03-08,113,2014,March,Saturday,Graduate,Single,2,3,1,6,27,38,1.0
4141,Graduation,Together,71613,0,0,57,Adult,2013-08-21,312,2013,August,Wednesday,Graduate,Partner,0,2,0,21,776,26,0.0
6182,Graduation,Together,26646,1,0,38,Adult,2014-02-10,139,2014,February,Monday,Graduate,Partner,1,3,1,8,53,26,1.0
5324,PhD,Married,58293,1,0,41,Adult,2014-01-19,161,2014,January,Sunday,PostGrad,Partner,1,3,1,19,422,94,0.0
7446,Master,Together,62513,0,1,55,Adult,2013-09-09,293,2013,September,Monday,PostGrad,Partner,1,3,1,22,716,16,0.0
965,Graduation,Divorced,55635,0,1,51,Adult,2012-11-13,593,2012,November,Tuesday,Graduate,Single,1,2,1,21,590,34,0.0
6177,PhD,Married,33454,1,0,37,Adult,2013-05-08,417,2013,May,Wednesday,PostGrad,Partner,1,3,1,10,169,32,1.0
4855,PhD,Together,30351,1,0,48,Adult,2013-06-06,388,2013,June,Thursday,PostGrad,Partner,1,3,1,6,46,19,1.0
5899,PhD,Together,5648,1,1,72,Senior,2014-03-13,108,2014,March,Thursday,PostGrad,Partner,2,4,1,2,49,68,1.0
387,Basic,Married,7500,0,0,46,Adult,2012-11-13,593,2012,November,Tuesday,UnderGrad,Partner,0,2,0,6,61,59,1.0
2125,Graduation,Divorced,63033,0,0,63,Adult,2013-11-15,226,2013,November,Friday,Graduate,Single,0,1,0,16,1102,82,0.0
8180,Master,Divorced,59354,1,1,70,Senior,2013-11-15,226,2013,November,Friday,PostGrad,Single,2,3,1,15,310,53,0.0
2569,Graduation,Married,17323,0,0,35,Adult,2012-10-10,627,2012,October,Wednesday,Graduate,Partner,0,2,0,5,46,38,1.0
2114,PhD,Single,82800,0,0,76,Senior,2012-11-24,582,2012,November,Saturday,PostGrad,Single,0,1,0,26,1315,23,0.0
9736,Graduation,Married,41850,1,1,42,Adult,2012-12-24,552,2012,December,Monday,Graduate,Partner,2,4,1,9,96,51,1.0
4939,Graduation,Together,37760,0,0,76,Senior,2012-08-31,667,2012,August,Friday,Graduate,Partner,0,2,0,13,317,20,1.0
6565,Master,Married,76995,0,1,73,Senior,2013-03-28,458,2013,March,Thursday,PostGrad,Partner,1,3,1,26,1782,91,0.0
2278,2n Cycle,Single,33812,1,0,37,Adult,2012-11-03,603,2012,November,Saturday,UnderGrad,Single,1,2,1,8,133,86,1.0
9360,Graduation,Married,37040,0,0,40,Adult,2012-08-08,690,2012,August,Wednesday,Graduate,Partner,0,2,0,12,316,41,1.0
5376,Graduation,Married,2447,1,0,43,Adult,2013-01-06,539,2013,January,Sunday,Graduate,Partner,1,3,1,43,1730,42,1.0
1993,PhD,Married,58607,0,1,73,Senior,2012-12-23,553,2012,December,Sunday,PostGrad,Partner,1,3,1,17,972,63,0.0
4047,PhD,Married,65324,0,1,68,Senior,2014-01-11,169,2014,January,Saturday,PostGrad,Partner,1,3,1,20,544,0,0.0
1409,Graduation,Together,40689,0,1,71,Senior,2013-03-18,468,2013,March,Monday,Graduate,Partner,1,3,1,20,444,69,1.0
7892,Graduation,Single,18589,0,0,53,Adult,2013-01-02,543,2013,January,Wednesday,Graduate,Single,0,1,0,8,75,89,1.0
2404,Graduation,Married,53359,1,1,46,Adult,2013-05-27,398,2013,May,Monday,Graduate,Partner,2,4,1,14,257,4,0.0
9422,Graduation,Married,38360,1,0,33,Adult,2013-05-31,394,2013,May,Friday,Graduate,Partner,1,3,1,9,131,26,1.0
1966,PhD,Married,84618,0,0,57,Adult,2013-11-22,219,2013,November,Friday,PostGrad,Partner,0,2,0,26,1672,96,0.0
6864,Master,Divorced,10979,0,0,33,Adult,2014-05-22,38,2014,May,Thursday,PostGrad,Single,0,1,0,8,30,34,1.0
3033,Master,Together,38620,0,0,59,Adult,2013-05-11,414,2013,May,Saturday,PostGrad,Partner,0,2,0,11,318,56,1.0
5710,Graduation,Together,40548,0,1,52,Adult,2012-10-10,627,2012,October,Wednesday,Graduate,Partner,1,3,1,9,120,31,1.0
7373,PhD,Divorced,46610,0,2,70,Senior,2012-10-29,608,2012,October,Monday,PostGrad,Single,2,3,1,17,302,8,1.0
8755,Master,Married,68657,0,0,76,Senior,2013-02-20,494,2013,February,Wednesday,PostGrad,Partner,0,2,0,18,1196,4,0.0
10738,Master,Single,49389,1,1,71,Senior,2013-08-29,304,2013,August,Thursday,PostGrad,Single,2,3,1,6,65,55,1.0
4339,PhD,Married,67353,0,1,52,Adult,2013-12-31,180,2013,December,Tuesday,PostGrad,Partner,1,3,1,28,913,37,0.0
10755,2n Cycle,Married,23718,1,0,46,Adult,2013-09-02,300,2013,September,Monday,UnderGrad,Partner,1,3,1,9,81,76,1.0
8595,Graduation,Widow,42429,0,1,49,Adult,2014-02-11,138,2014,February,Tuesday,Graduate,Single,1,2,1,7,67,99,1.0
2968,PhD,Divorced,48948,0,0,79,Senior,2013-02-01,513,2013,February,Friday,PostGrad,Single,0,1,0,24,902,53,1.0
8601,Graduation,Married,80011,0,1,42,Adult,2013-04-29,426,2013,April,Monday,Graduate,Partner,1,3,1,21,1395,3,0.0
503,Master,Married,20559,1,0,37,Adult,2013-03-12,474,2013,March,Tuesday,PostGrad,Partner,1,3,1,7,53,88,1.0
8430,Graduation,Together,21994,0,1,65,Senior,2012-12-24,552,2012,December,Monday,Graduate,Partner,1,3,1,4,22,4,1.0
2139,Master,Married,7500,1,0,47,Adult,2013-10-02,270,2013,October,Wednesday,PostGrad,Partner,1,3,1,8,31,19,1.0
1371,Graduation,Single,79941,0,0,46,Adult,2014-06-28,1,2014,June,Saturday,Graduate,Single,0,1,0,16,984,72,0.0
9909,2n Cycle,Married,7500,0,0,26,Adult,2012-11-09,597,2012,November,Friday,UnderGrad,Partner,0,2,0,10,122,24,1.0
7286,Graduation,Together,41728,1,0,54,Adult,2013-05-24,401,2013,May,Friday,Graduate,Partner,1,3,1,5,55,92,1.0
6566,PhD,Married,72550,1,1,68,Senior,2012-11-08,598,2012,November,Thursday,PostGrad,Partner,2,4,1,28,1319,39,0.0
8614,Graduation,Widow,65486,0,1,65,Senior,2014-05-12,48,2014,May,Monday,Graduate,Single,1,2,1,17,507,29,0.0
4114,Master,Married,79143,0,0,58,Adult,2012-08-11,687,2012,August,Saturday,PostGrad,Partner,0,2,0,29,1693,2,0.0
1331,Graduation,Single,35790,1,0,45,Adult,2013-01-02,543,2013,January,Wednesday,Graduate,Single,1,2,1,7,72,54,1.0
2225,Graduation,Divorced,82582,0,0,45,Adult,2014-06-07,22,2014,June,Saturday,Graduate,Single,0,1,0,21,1617,54,0.0
9381,Graduation,Married,66373,1,1,44,Adult,2013-06-12,382,2013,June,Wednesday,Graduate,Partner,2,4,1,23,606,57,0.0
6260,Master,Together,82384,0,0,67,Senior,2012-11-19,587,2012,November,Monday,PostGrad,Partner,0,2,0,27,1957,55,0.0
10383,Graduation,Divorced,70287,0,0,56,Adult,2013-04-02,453,2013,April,Tuesday,Graduate,Single,0,1,0,21,1093,30,0.0
7437,Graduation,Single,27938,1,0,34,Adult,2014-04-28,62,2014,April,Monday,Graduate,Single,1,2,1,6,29,31,1.0
8375,PhD,Married,55954,0,1,54,Adult,2014-03-03,118,2014,March,Monday,PostGrad,Partner,1,3,1,19,518,63,0.0
6853,Master,Single,75777,0,0,40,Adult,2013-07-04,360,2013,July,Thursday,PostGrad,Single,0,1,0,21,1438,12,0.0
3076,Graduation,Together,66653,1,1,47,Adult,2012-09-07,660,2012,September,Friday,Graduate,Partner,2,4,1,22,612,18,0.0
1012,Graduation,Single,61823,0,1,70,Senior,2013-02-18,496,2013,February,Monday,Graduate,Single,1,2,1,24,884,26,0.0
6518,PhD,Widow,67680,0,1,71,Senior,2013-06-11,383,2013,June,Tuesday,PostGrad,Single,1,2,1,19,606,8,0.0
4137,Graduation,Together,70666,0,0,74,Senior,2013-12-06,205,2013,December,Friday,Graduate,Partner,0,2,0,16,1076,29,0.0
